"dataname","Name","Competition","NumberSteps","Jump","Height cleared","Height","Cleared","Foot Plant Step 1","Foot Plant Step 2","Foot Plant Step 3","Foot Plant Step 4","Foot Plant Step 5","Foot Plant Step 6","Foot Plant Step 7","Foot Plant Step 8","Foot Plant Step 9","Foot Plant Take-Off","Contact Time 3rd last","Contact Time 2nd last","Contact Time last","Step Time Step 1","Step Time Step 2","Step Time Step 3","Step Time Step 4","Step Time Step 5","Step Time Step 6","Step Time Step 7","Step Time Step 8","Step Time Step 9","Cadencev1Avg","Cadencev1 Step 1","Cadencev1 Step 2","Cadencev1 Step 3","Cadencev1 Step 4","Cadencev1 Step 5","Cadencev1 Step 6","Cadencev1 Step 7","Cadencev1 Step 8","Cadencev1 Step 9","Cadencev2Avg","Cadencev2 Step 1","Cadencev2 Step 2","Cadencev2 Step 3","Cadencev2 Step 4","Cadencev2 Step 5","Cadencev2 Step 6","Cadencev2 Step 7","Cadencev2 Step 8","Cadencev2 Step 9"
"Nicola McDermott_SydneyTrackClassic2020","Nicola McDermott","SydneyTrackClassic2020",10,1,"1.86 O","1.86","Y",0,0.64,1.1,1.57,1.97,2.37,2.68,2.99,3.28,3.46,0.14,0.16,0.18,0.64,0.46,0.47,0.4,0.4,0.31,0.31,0.29,0.18,2.89017341040462,1.5625,1.81818181818182,1.91082802547771,2.03045685279188,2.10970464135021,2.23880597014925,2.34113712374582,2.4390243902439,2.60115606936416,2.89017341040462,1.5625,2.17391304347826,2.12765957446809,2.5,2.5,3.2258064516129,3.2258064516129,3.44827586206897,5.55555555555555
"Nicola McDermott_SydneyTrackClassic2020","Nicola McDermott","SydneyTrackClassic2020",10,2,"1.90 X","1.9","N",0,0.6,1.08,1.56,1.91,2.3,2.61,2.92,3.24,3.42,0.15,0.15,0.17,0.6,0.48,0.48,0.35,0.39,0.31,0.31,0.32,0.18,2.92397660818713,1.66666666666667,1.85185185185185,1.92307692307692,2.09424083769634,2.17391304347826,2.29885057471264,2.3972602739726,2.46913580246914,2.63157894736842,2.92397660818713,1.66666666666667,2.08333333333333,2.08333333333333,2.85714285714286,2.56410256410256,3.2258064516129,3.2258064516129,3.125,5.55555555555556
"Nicola McDermott_SydneyTrackClassic2020","Nicola McDermott","SydneyTrackClassic2020",10,3,"1.90 XO","1.9","Y",0,0.62,1.12,1.6,2,2.38,2.7,3,3.31,3.49,0.14,0.14,0.165,0.62,0.5,0.48,0.4,0.38,0.32,0.3,0.31,0.18,2.86532951289398,1.61290322580645,1.78571428571429,1.875,2,2.10084033613445,2.22222222222222,2.33333333333333,2.41691842900302,2.57879656160458,2.86532951289398,1.61290322580645,2,2.08333333333333,2.5,2.63157894736842,3.125,3.33333333333334,3.2258064516129,5.55555555555555
"Nicola McDermott_SydneyTrackClassic2020","Nicola McDermott","SydneyTrackClassic2020",10,4,"1.94 O","1.94","Y",0,0.58,1.065,1.53,1.91,2.3,2.63,2.91,3.22,3.39,0.14,0.14,0.18,0.58,0.485,0.465,0.38,0.39,0.33,0.28,0.31,0.17,2.94985250737463,1.72413793103448,1.87793427230047,1.96078431372549,2.09424083769634,2.17391304347826,2.28136882129278,2.40549828178694,2.48447204968944,2.65486725663717,2.94985250737463,1.72413793103448,2.06185567010309,2.1505376344086,2.63157894736842,2.56410256410256,3.03030303030303,3.57142857142857,3.2258064516129,5.88235294117647
"Nicola McDermott_SydneyTrackClassic2020","Nicola McDermott","SydneyTrackClassic2020",10,5,"1.97 X","1.97","N",0,0.59,1.08,1.52,1.89,2.25,2.58,2.88,3.18,3.38,0.14,0.14,0.165,0.59,0.49,0.44,0.37,0.36,0.33,0.3,0.3,0.2,2.9585798816568,1.69491525423729,1.85185185185185,1.97368421052632,2.11640211640212,2.22222222222222,2.32558139534884,2.43055555555556,2.51572327044025,2.66272189349112,2.9585798816568,1.69491525423729,2.04081632653061,2.27272727272727,2.7027027027027,2.77777777777778,3.03030303030303,3.33333333333334,3.33333333333333,5.00000000000001
"Nicola McDermott_SydneyTrackClassic2020","Nicola McDermott","SydneyTrackClassic2020",10,6,"1.97 XX","1.97","N",0,0.57,1.04,1.5,1.87,2.23,2.56,2.86,3.18,3.36,0.15,0.13,0.175,0.57,0.47,0.46,0.37,0.36,0.33,0.3,0.32,0.18,2.97619047619048,1.75438596491228,1.92307692307692,2,2.13903743315508,2.24215246636771,2.34375,2.44755244755245,2.51572327044025,2.67857142857143,2.97619047619048,1.75438596491228,2.12765957446808,2.17391304347826,2.7027027027027,2.77777777777778,3.03030303030303,3.33333333333334,3.125,5.55555555555556
"Nicola McDermott_SydneyTrackClassic2020","Nicola McDermott","SydneyTrackClassic2020",10,7,"1.97 XXX","1.97","N",0,0.62,1.07,1.55,1.92,2.29,2.63,2.93,3.27,3.43,0.14,0.13,0.19,0.62,0.45,0.48,0.37,0.37,0.34,0.3,0.34,0.16,2.91545189504373,1.61290322580645,1.86915887850467,1.93548387096774,2.08333333333333,2.18340611353712,2.28136882129278,2.38907849829352,2.44648318042813,2.62390670553936,2.91545189504373,1.61290322580645,2.22222222222222,2.08333333333333,2.7027027027027,2.7027027027027,2.94117647058824,3.33333333333333,2.94117647058824,6.24999999999999
